"","Class_Name","Sub_Class_Name","Date","NetSales"
"470","Pulses","Chana Dal","08.09.2014",10437.6325
"471","Pulses","Chana Dal","08.10.2014",13007.623
"472","Pulses","Chana Dal","08.11.2014",14511.6
"473","Pulses","Chana Dal","09.08.2014",21923.5246
"474","Pulses","Chana Dal","09.09.2014",10155.9221
"475","Pulses","Chana Dal","09.10.2014",12668.304
"476","Pulses","Chana Dal","09.11.2014",14056.35
"477","Pulses","Chana Dal","10.08.2014",17612.586
"478","Pulses","Chana Dal","10.09.2014",9995.75
"479","Pulses","Chana Dal","10.10.2014",11456.347
"480","Pulses","Chana Dal","10.11.2014",7708.75
"481","Pulses","Chana Dal","11.08.2014",9386.6325
"482","Pulses","Chana Dal","11.09.2014",8251.95
"483","Pulses","Chana Dal","11.10.2014",16799.057
"484","Pulses","Chana Dal","11.11.2014",7323.15
"485","Pulses","Chana Dal","12.08.2014",9635.5035
"486","Pulses","Chana Dal","12.09.2014",7668.35
"487","Pulses","Chana Dal","12.10.2014",20341.134
"488","Pulses","Chana Dal","12.11.2014",6182.05
"489","Pulses","Chana Dal","13.08.2014",8712.111
"490","Pulses","Chana Dal","13.09.2014",13782.7101
"491","Pulses","Chana Dal","13.10.2014",14504.078
"492","Pulses","Chana Dal","13.11.2014",6281.22
"493","Pulses","Chana Dal","14.08.2014",8460.048
"494","Pulses","Chana Dal","14.09.2014",14054.65
"495","Pulses","Chana Dal","14.10.2014",11478.668
"496","Pulses","Chana Dal","14.11.2014",7858.4
"497","Pulses","Chana Dal","15.08.2014",11237.63
"498","Pulses","Chana Dal","15.09.2014",6807.15
"499","Pulses","Chana Dal","15.10.2014",10773.587
"500","Pulses","Chana Dal","15.11.2014",11510.85
"501","Pulses","Chana Dal","16.08.2014",12223.3145
"502","Pulses","Chana Dal","16.09.2014",8917.6
"503","Pulses","Chana Dal","16.10.2014",14577.715
"504","Pulses","Chana Dal","16.11.2014",11732.27
"505","Pulses","Chana Dal","17.08.2014",11653.8005
"506","Pulses","Chana Dal","17.09.2014",6803.2
